Accession,Title,Automated_Decision,Automated_Score,Automated_Reason,Final_Decision,Final_Reason,Decision_Source,Manual_Review,Evidence_Adjudication,Title_Terms,Summary_Terms,Overall_Design_Terms,Summary_Sample_Terms,Incidental_Signals,Off_Topic_Signals,Relevant_Summary_Sentences,GEO_Link
GSE198913,Single cell transcriptome of dermal sheath cup cells contributing to efficacy of cell-based therapy for patterned hair loss,include,17,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,dermal_sheath; hair_loss,dermal_sheath; hair_loss,dermal_sheath,,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198913
GSE256251,MCL‑1 is essential for hair growth by preventing BAK‑mediated apoptosis of activated adult hair follicle stem cells,include,30,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,hair_follicle; hair_follicle_stem_cell; hair_growth,hair_follicle; hair_follicle_stem_cell; hair_growth; hair_loss,hair_follicle; hair_depletion_model,hair_follicle_stem_cell; hair_growth,,,2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE256251
GSE225460,The Role of Interferon-γ in Autoimmune Polyendocrine Syndrome Type 1,exclude,-7,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,exclude,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,automated_rule,False,False,,alopecia,,,outcome_only,systemic_autoimmune,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE225460
GSE252821,Sphingolipid metabolism orchestrates the establishment of the adult hair follicle stem cell niche to control skin homeostasis,include,13,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,hair_follicle; hair_follicle_stem_cell,hair_follicle; hair_follicle_stem_cell,,,,,2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE252821
GSE274498,snRNA-seq of murine tarsal plates,exclude,-7,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,exclude,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,automated_rule,False,False,,hair_follicle,,,sample_contamination,meibomian,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE274498
GSE242713,Single-cell transcriptomic analysis of skin sorted CD45 positive and CD45 negative population from Il2ra upstream enhancer deleted (UP_Del) mice presenting with and without alopecia phenotype.,include,17,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,alopecia,alopecia,alopecia,alopecia,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE242713
GSE250294,Low fucosylation defines the glycocalyx of progenitor cells and melanocytes in the limbal epithelial stem cell niche,exclude,-7,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,exclude,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,automated_rule,False,False,,hair_follicle,,,sample_contamination,ocular,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250294
GSE189684,Transcriptome profiling reveals different expression pattern between beard and scalp hair follicle in androgenetic alopecia.,include,30,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,hair_follicle; alopecia; androgenetic_alopecia; scalp,hair_follicle; hair_growth; hair_loss; alopecia; androgenetic_alopecia; scalp,hair_follicle; alopecia; androgenetic_alopecia; scalp,hair_follicle; hair_growth; scalp,,,3,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE189684
GSE233904,Effects of oxytocin on the hair growth ability of dermal papilla cells,include,27,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,dermal_papilla; hair_growth,hair_follicle; dermal_papilla; hair_compartment; hair_growth; alopecia,dermal_papilla,hair_follicle; hair_growth,,,5,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233904
GSE282648,Vascular EC-derived factors promote DPC functions.,include,11,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,dermal_papilla,dermal_papilla,,dermal_papilla,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282648
GSE189616,Single cell RNA-seq of a laser treated alopecia model,include,20,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,alopecia,hair_cycle; hair_loss; alopecia,hair_cycle; alopecia,,,,2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE189616
GSE274955,An mRNA treatment for human skin rejuvenation,review,3,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,人皮肤单细胞图谱明确分析 hair follicle 细胞更新，属于可复用的毛囊细胞群数据。,evidence_adjudication,True,True,,hair_follicle,,,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE274955
GSE246952,Intermittent fasting triggers interorgan communication to suppress hair follicle regeneration,include,20,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,hair_follicle,hair_follicle; hair_follicle_stem_cell; hair_growth,hair_follicle; hair_follicle_stem_cell; hair_cycle_stage,,,,2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE246952
GSE233240,Stem Cell Activity-Coupled Suppression of Endogenous Retrovirus Governs Adult Tissue Regeneration [scRNA-seq],include,7,摘要中多处以皮肤毛囊/毛发生物学为核心问题,include,摘要中多处以皮肤毛囊/毛发生物学为核心问题,automated_rule,False,False,,hair_follicle; hair_follicle_stem_cell; hair_growth; hair_loss,,,,,2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233240
GSE227078,Stem Cell Activity-Coupled Suppression of Endogenous Retrovirus Governs Adult Tissue Regeneration [WGBS],include,16,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,,hair_follicle; hair_follicle_stem_cell; hair_growth; hair_loss,hair_follicle; hair_cycle_stage,,,,2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE227078
GSE226580,Stem Cell Activity-Coupled Suppression of Endogenous Retrovirus Governs Adult Tissue Regeneration,include,7,摘要中多处以皮肤毛囊/毛发生物学为核心问题,include,摘要中多处以皮肤毛囊/毛发生物学为核心问题,automated_rule,False,False,,hair_follicle; hair_follicle_stem_cell; hair_growth; hair_loss,,,,,2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226580
GSE226579,Stem Cell Activity-Coupled Suppression of Endogenous Retrovirus Governs Adult Tissue Regeneration [RNA-seq],include,16,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,,hair_follicle; hair_follicle_stem_cell; hair_growth; hair_loss,hair_follicle; hair_follicle_stem_cell; hair_cycle_stage,,,,2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226579
GSE273649,HNRNPU is essential for proper murine skin development,review,3,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,表皮 Hnrnpu 缺失导致毛囊发育失败，组学对象与发育表型直接相关。,manual_boundary_review,True,False,,hair_follicle,,,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE273649
GSE272815,Helminth protein enhances wound healing by inhibiting fibrosis and promoting tissue regeneration,review,3,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,全层创伤模型直接研究毛囊再生及其免疫细胞机制。,manual_boundary_review,True,False,,hair_follicle,,,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE272815
GSE243634,Type 2 cytokine-dependent skin barrier regulation in personalized 2D- and 3D skin models of atopic dermatitis: A pilot study,include,15,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,转录组样本直接来自毛囊来源角质形成细胞；虽然疾病问题是特应性皮炎，样本仍是明确的毛囊来源细胞。,evidence_adjudication,False,True,,hair_follicle,hair_follicle,hair_follicle,,,2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243634
GSE241061,The IL-33/ST2 axis and tissue Treg maintains epithelial homeostasis in the skin and restrains cancer development,review,1,存在毛发相关描述，但缺少足够的研究对象或样本证据,exclude,组学对象是 DMBA 皮肤癌模型的全皮肤；毛囊仅作为 Treg 空间定位背景。,manual_boundary_review,True,False,,hair_follicle,,,,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241061
GSE273572,JAK-STAT1 as therapeutic target for EGFR deficiency-associated inflammation and scarring alopecia (scRNA-seq),include,20,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,alopecia,hair_follicle; hair_follicle_stem_cell; hair_growth; hair_loss; alopecia,hair_follicle,alopecia; hair_follicle; hair_growth,clinical_manifestation,,4,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE273572
GSE273571,JAK-STAT1 as therapeutic target for EGFR deficiency-associated inflammation and scarring alopecia (RNA-seq of HFSC),include,26,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,hair_follicle_stem_cell; alopecia,hair_follicle; hair_follicle_stem_cell; hair_growth; hair_loss; alopecia,hair_follicle; hair_follicle_stem_cell,alopecia; hair_follicle; hair_growth,clinical_manifestation,,4,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE273571
GSE272509,TLR9 activation in large wound induces tissue repair and hair follicle regeneration via γδT cells,include,4,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,hair_follicle,,,,,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE272509
GSE271100,Stem cells tightly regulate dead cell clearance to maintain tissue fitness [scRNA-seq],include,12,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,,hair_cycle,hair_follicle; hair_follicle_stem_cell; hair_cycle,,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE271100
GSE270324,The integrated stress response fine-tunes stem cell fate decisions in response to serine deprivation and tissue injury [RNA-seq],include,7,摘要中多处以皮肤毛囊/毛发生物学为核心问题,include,摘要中多处以皮肤毛囊/毛发生物学为核心问题,automated_rule,False,False,,hair_follicle; hair_follicle_stem_cell; hair_growth,,,,,2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE270324
GSE270317,The integrated stress response fine-tunes stem cell fate decisions in response to serine deprivation and tissue injury [scRNA-seq],include,16,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,,hair_follicle; hair_follicle_stem_cell; hair_growth,hair_follicle; hair_follicle_stem_cell,,,,2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE270317
GSE269455,Humanized CXCL12 Antibody Delays Onset and Modulates Immune Response in Alopecia Areata Mice,include,8,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,alopecia,hair_growth; alopecia,,,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE269455
GSE247569,The impact of HPV8 on Lrig1+ and CD34+ hair follicle keratinocyte stem cell populations,include,11,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,hair_follicle,hair_follicle,hair_follicle,,,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE247569
GSE254889,Hair follicles modulate skin barrier function,include,10,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,研究直接检验上段毛囊对皮肤屏障的调控，毛囊是核心生物学对象而非偶然提及。,evidence_adjudication,False,True,hair_follicle,,hair_cycle_stage,,,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE254889
GSE267295,Microneedle-mediated Delivery of Immunomodulators Restores Immune Privilege in Hair Follicles and Reverses Immune-Mediated Alopecia,include,15,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,hair_follicle; alopecia,hair_growth; hair_loss; alopecia,,alopecia; hair_growth,clinical_manifestation,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE267295
GSE266028,Dermal TRPV1 innervations engage a macrophage and fibroblast containing pathway to activate hair growth [dataset2],include,8,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,hair_growth,hair_follicle; hair_growth,,,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE266028
GSE266027,Dermal TRPV1 innervations engage a macrophage and fibroblast containing pathway to activate hair growth [dataset1],include,8,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,hair_growth,hair_follicle; hair_growth,,,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE266027
GSE243088,Essential role of macrophages in contact hypersensitivity-induced hair regeneration [DPCP vs control],include,9,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,hair_growth,hair_follicle; hair_cycle_stage; hair_growth,,,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243088
GSE243087,Essential role of macrophages in contact hypersensitivity-induced hair regeneration [Clod vs Encap],include,9,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,hair_growth,hair_follicle; hair_cycle_stage; hair_growth,,,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243087
GSE206790,Profibrotic subsets of SPP1+ macrophages and POSTN+ fibroblasts contribute to fibrotic scarring in acne keloidalis,include,7,摘要中多处以皮肤毛囊/毛发生物学为核心问题,include,摘要中多处以皮肤毛囊/毛发生物学为核心问题,automated_rule,False,False,,hair_follicle; root_sheath; hair_loss; alopecia; scalp,,scalp,clinical_manifestation,,2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE206790
GSE261101,Quietly hiding: PD-L1 checkpoint expression in melanocyte stem cell quiescence and aging,include,10,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,,hair_cycle,hair_follicle; hair_cycle_stage; hair_cycle,,,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261101
GSE254311,Gene expression profile of hair follicle stem cells (HFSCs) isolated from wild type and homozygous Dab2 cKO (Dab2 Fl/Fl) mice at postnatal day 68,include,24,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,hair_follicle; hair_follicle_stem_cell,hair_follicle; hair_follicle_stem_cell; hair_cycle_stage,hair_follicle_stem_cell,hair_follicle_stem_cell,,,4,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE254311
GSE231731,Retinoic acid promotes tissue regeneration by resolving stem cell lineage plasticity,include,7,摘要中多处以皮肤毛囊/毛发生物学为核心问题,include,摘要中多处以皮肤毛囊/毛发生物学为核心问题,automated_rule,False,False,,hair_follicle; hair_follicle_stem_cell; hair_growth,,,,,3,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE231731
GSE245774,ASH2L mediates epidermal differentiation and hair follicle morphogenesis via the regulation of the Notch signaling pathway activity,include,4,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,hair_follicle,,,,,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE245774
GSE245772,ASH2L mediates epidermal differentiation and hair follicle morphogenesis via the regulation of the Notch signaling pathway activity [RNA-Seq],include,4,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,hair_follicle,,,,,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE245772
GSE261227,Molecular heterogeneity of quiescent melanocyte stem cells revealed by single-cell RNA-sequencing.,include,22,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,,hair_follicle; hair_cycle_stage,hair_cycle; hair_pigmentation,hair_cycle_stage; hair_follicle,,,2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261227
GSE255708,Finasteride delays atherosclerosis progression in mice and is associated with a reduction in plasma cholesterol in men,exclude,-11,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,exclude,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,automated_rule,False,False,,balding,,,drug_indication,cardiovascular; hepatic,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE255708
GSE252536,Effects of cinnamic acid on the hair growth ability of dermal papilla cells,include,17,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,dermal_papilla; hair_growth,dermal_papilla; hair_growth,dermal_papilla,,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE252536
GSE254347,Antiviral drugs prolong survival in murine recessive dystrophic epidermolysis bullosa,exclude,-3,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,exclude,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,automated_rule,False,False,,hair_loss,,,outcome_only,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE254347
GSE248056,The impact of HPV8 on hair follicle stem cell populations,include,7,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,hair_follicle; hair_follicle_stem_cell,,,,,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE248056
GSE247466,The impact of HPV8 E6 on Lrig1+ hair follicle stem cell populations,include,14,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,hair_follicle; hair_follicle_stem_cell,hair_follicle,hair_follicle,,,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE247466
GSE252889,Smart-seq analysis comparing melanocytes from Spry1flox/flox mice tail epidermis to the melanocytes derived from Spry1 epidermis specific knockout mice tail and back epidermis,review,1,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,研究 Spry1 缺失后毛囊 melanocyte stem cells 的迁移与命运。,manual_boundary_review,True,False,,hair_follicle,,,,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE252889
GSE156014,Dietary restriction delays but cannot heal irradiation-induced hair graying by preserving hair follicle stem cells in quiescence,include,24,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,hair_follicle; hair_follicle_stem_cell; hair_pigmentation,hair_follicle; hair_follicle_stem_cell; hair_cycle; hair_growth; hair_pigmentation,hair_follicle,hair_follicle_stem_cell,,,4,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE156014
GSE194373,BMI1 is required for melanocyte stem cell maintenance and hair pigmentation,include,6,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,hair_pigmentation,hair_cycle; hair_pigmentation,,,,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE194373
GSE229890,Autophagy induces hair follicle stem cell activation and hair follicle regeneration by regulating glycolysis,include,23,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,hair_follicle; hair_follicle_stem_cell,hair_follicle; hair_follicle_stem_cell; hair_growth,hair_follicle; hair_follicle_stem_cell,,,,2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE229890
GSE225849,RNA-seq data of human scalp hair follicles following SEP1 phage treatment,include,20,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,hair_follicle; scalp,hair_follicle; scalp,hair_follicle; hair_cycle_stage,,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE225849
GSE179300,Innate immunity controls hair regeneration and growth via BMP signaling,include,27,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,hair_growth,hair_follicle; hair_follicle_stem_cell; hair_cycle; hair_growth,hair_follicle; hair_follicle_stem_cell,hair_follicle_stem_cell; hair_growth,,,8,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179300
GSE243572,Differential T-cell and monocyte responses in hepatocellular carcinoma treated with regorafenib plus nivolumab: an integrated clinical and biomarker analysis of the phase 2 RENOBATE trial,exclude,-11,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,exclude,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,automated_rule,False,False,,alopecia,,,adverse_event,blood_only; hepatic,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243572
GSE242128,MCPIP1 controls effects of myeloid cells on skin carcinogenesis and hair growth,exclude,0,标题虽提及毛发/脱发，但实验设计明确指向无关组织或疾病,exclude,该 GEO 系列的 RNA-seq 对象是化学诱导的皮肤癌病灶和邻近皮肤；毛发生长只出现在总研究标题，当前组学实验未研究毛囊。,evidence_adjudication,False,True,hair_growth,,,,,skin_carcinogenesis,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE242128
GSE192797,Thyroid hormone receptor agonist promotes hair growth in mice,include,4,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,hair_growth,,,,,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE192797
GSE220977,Sweat gland development requires an eccrine dermal niche and couples two epidermal programs,exclude,-7,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,exclude,主要对象是小汗腺发育及其 dermal niche；毛囊仅用于说明一个共享的表皮转录程序。,evidence_adjudication,False,True,,hair_follicle,,,comparison_only,other_skin_appendage,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE220977
GSE159827,Symmetry breaking of tissue mechanics in wound induced hair follicle regeneration [scRNA-seq],include,4,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,hair_follicle,,,,,,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159827
GSE212757,Adipose transcriptome in the scalp of androgenetic alopecia,include,30,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,alopecia; androgenetic_alopecia; scalp,hair_follicle; alopecia; androgenetic_alopecia; scalp,alopecia; androgenetic_alopecia; scalp,alopecia; androgenetic_alopecia; hair_follicle; scalp,,,2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE212757
GSE223884,VDR is an essential regulatory factor in the stage of hair follicle regression through the progression of cell death,include,18,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,hair_follicle,hair_follicle; hair_cycle_stage; hair_cycle; hair_loss; alopecia,,hair_cycle_stage; hair_follicle,,,4,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE223884
GSE240637,Spatial transcriptome reveals disturbance of peri-infundibular immune infiltration in androgenetic alopecia,include,12,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,alopecia; androgenetic_alopecia,dermal_papilla; alopecia; androgenetic_alopecia; balding,,,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE240637
GSE230523,Stem cells tightly regulate dead cell clearance to maintain tissue fitness [Bulk RNA-seq],include,12,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,,hair_cycle,hair_follicle; hair_follicle_stem_cell,,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE230523
GSE239791,Keratinocyte Wnt5β promotes dermal adipogenesis by simultaneously regulating adipocyte precursor cell conversion and adipogenic signaling,include,5,摘要中多处以皮肤毛囊/毛发生物学为核心问题,include,摘要中多处以皮肤毛囊/毛发生物学为核心问题,automated_rule,False,False,,hair_follicle,,,,,2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE239791
GSE229111,Skin-type-dependent development of murine mechanosensory neurons,exclude,-3,组学对象是感觉神经元/触觉亚型，毛囊仅作为神经支配的解剖背景,exclude,Smart-seq 对象是支配有毛/无毛皮肤的机械感觉神经元，科学问题是触觉末梢发育；毛囊仅为神经末梢的解剖靶点。,evidence_adjudication,False,True,,hair_follicle,,,,sensory_neuron,0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE229111
GSE233906,Functional interrogation of lymphocyte subsets in alopecia areata using single-cell RNA sequencing,include,7,标题以毛囊、毛发生物学或脱发为主要研究主题,include,标题以毛囊、毛发生物学或脱发为主要研究主题,automated_rule,False,False,alopecia,alopecia,,,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233906
GSE232908,Dynamic regulation of chromatin accessibility during melanocyte stem cell activation,include,17,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,automated_rule,False,False,,hair_compartment; hair_cycle_stage,hair_cycle_stage,hair_compartment; hair_cycle_stage,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE232908
GSE218854,Role of Atg16L1 in skin biology,include,12,摘要明确说明毛囊/脱发相关组学对象，且未被无关实验设计否定,include,摘要明确说明毛囊/脱发相关组学对象，且未被无关实验设计否定,automated_rule,False,False,,hair_follicle; hair_follicle_stem_cell; hair_growth,,hair_follicle; hair_follicle_stem_cell; hair_growth,,,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE218854
