Accession,Title,Reference_Decision,Rule_Decision,Rule_Reason,AI_Decision,AI_Confidence,AI_Primary_Subject,AI_Reason,AI_Evidence,AI_Repeat_Decisions,Hybrid_Decision
GSE233240,Stem Cell Activity-Coupled Suppression of Endogenous Retrovirus Governs Adult Tissue Regeneration [scRNA-seq],include,include,摘要中多处以皮肤毛囊/毛发生物学为核心问题,include,0.95,Hair follicle stem cell activity and regeneration,"The study directly investigates hair follicle stem cell activity and hair regeneration, with hair loss as a key phenotype.",Title mentions 'Stem Cell Activity' and 'Adult Tissue Regeneration' in the context of skin || Summary states 'hair loss and stem cell exhaustion' upon SETDB1 ablation || Summary explicitly says 'essential for adult hair regeneration' || Overall design uses scRNA-seq on skin epithelium from mice with hair phenotype,include || include,include
GSE227078,Stem Cell Activity-Coupled Suppression of Endogenous Retrovirus Governs Adult Tissue Regeneration [WGBS],include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Hair follicle stem cells and regeneration,"The study directly assays hair follicle cells and investigates mechanisms of hair regeneration and hair loss, making it central to hair biology.",Title mentions 'Stem Cell Activity' and 'Adult Tissue Regeneration' in the context of hair loss || Summary states 'hair loss and stem cell exhaustion' upon SETDB1 ablation || Summary explicitly mentions 'hair follicle stem cells and progenitors' || Overall_Design specifies 'skin anagen hair follicle cells' as the assayed sample,include || include,include
GSE226580,Stem Cell Activity-Coupled Suppression of Endogenous Retrovirus Governs Adult Tissue Regeneration,include,include,摘要中多处以皮肤毛囊/毛发生物学为核心问题,include,0.95,Hair follicle stem cells and hair regeneration,"The study directly investigates hair follicle stem cell activity and its role in hair regeneration, with hair loss as a central phenotype.",Title mentions 'Stem Cell Activity' and 'Adult Tissue Regeneration' in skin || Summary states SETDB1 ablation leads to hair loss and stem cell exhaustion || Summary describes hair follicle stem cells and progenitors as key cell types || Summary concludes ERV silencing is essential for adult hair regeneration,include || include,include
GSE226579,Stem Cell Activity-Coupled Suppression of Endogenous Retrovirus Governs Adult Tissue Regeneration [RNA-seq],include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,hair follicle stem cells and hair regeneration,"The study directly assays hair follicle stem cells and investigates mechanisms of hair regeneration and hair loss, making it central to hair biology.","Title mentions 'Stem Cell Activity' and 'Adult Tissue Regeneration' in the context of hair loss || Summary states 'hair loss and stem cell exhaustion', 'hair follicle stem cells and progenitors', and 'essential for adult hair regeneration' || Overall_Design specifies 'hair follicle stem cells (HF-SCs) from C57BL/6J mice second telogen skin'",include || include,include
GSE273649,HNRNPU is essential for proper murine skin development,include,review,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,0.95,Hair follicle development in murine skin,"The study directly investigates hair follicle development as a primary biological subject, with omics data designed to explain the phenotype.","Summary states loss of Hnrnu resulted in developmental failure of the epidermis and hair follicle. || Overall design compares transcriptome of Hnrnpu-KO epidermis and control epidermis, with hair follicle as a key affected structure.",include || include,review
GSE272815,Helminth protein enhances wound healing by inhibiting fibrosis and promoting tissue regeneration,include,review,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,0.9,Hair follicle regeneration during wound healing,"Hair follicle regeneration is a central endpoint of the study, and the omics experiment is designed to explain it.",Title mentions tissue regeneration || Summary states 'hair follicle regeneration were observed' || Study examines wound healing with hair follicle regeneration as a key outcome,include || include,review
GSE243634,Type 2 cytokine-dependent skin barrier regulation in personalized 2D- and 3D skin models of atopic dermatitis: A pilot study,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,exclude,0.95,Atopic dermatitis inflammation in keratinocytes,"Hair follicle is used solely as a keratinocyte source for an atopic dermatitis model, with no hair biology or alopecia question.","Keratinocytes are isolated from hair follicles only as a non-invasive source, not to study hair biology. || The study focuses on atopic dermatitis inflammatory responses, not hair follicle development, cycling, or alopecia. || Hair follicle is merely a sampling site; the biological question is about skin barrier and AD.",exclude || exclude,review
GSE241061,The IL-33/ST2 axis and tissue Treg maintains epithelial homeostasis in the skin and restrains cancer development,exclude,review,存在毛发相关描述，但缺少足够的研究对象或样本证据,exclude,0.95,Skin homeostasis and cutaneous squamous cell carcinoma,The study examines skin homeostasis and cancer using whole skin biopsies; hair follicles are incidental to the main question and not a primary biological subject or endpoint.,"Title focuses on epithelial homeostasis and cancer development in skin || Summary states investigation of IL-33/ST2 axis in skin homeostasis and cancer || Overall design uses whole skin biopsies for RNA-seq || Hair follicle mentioned only as localization site for Tregs, not as primary subject",exclude || exclude,review
GSE273572,JAK-STAT1 as therapeutic target for EGFR deficiency-associated inflammation and scarring alopecia (scRNA-seq),include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.98,Hair follicle stem cell niche and scarring alopecia,"The study directly assays hair follicle cells and investigates mechanisms of scarring alopecia, making it highly relevant to hair biology and alopecia.",Title mentions scarring alopecia and scRNA-seq of hair follicle || Summary states single-cell RNA sequencing of hair follicle and immune cell compartment || Study investigates EGFR role in hair follicle destruction and JAK-STAT1 in alopecia || Mouse model of epidermal and hair follicle-specific EGFR deletion,include || include,include
GSE273571,JAK-STAT1 as therapeutic target for EGFR deficiency-associated inflammation and scarring alopecia (RNA-seq of HFSC),include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.98,hair follicle stem cells in scarring alopecia,"The study directly assays hair follicle stem cells to investigate mechanisms of scarring alopecia, making it highly relevant to hair biology and alopecia.",Title mentions scarring alopecia and RNA-seq of HFSC || Summary states study focuses on hair follicle stem cell niche and scarring hair follicle destruction || Overall design isolates CD34+ hair follicle stem cells from mouse models,include || include,include
GSE272509,TLR9 activation in large wound induces tissue repair and hair follicle regeneration via γδT cells,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,hair follicle regeneration in wound healing,"The study investigates hair follicle regeneration as a primary outcome in a wound healing model, making it directly relevant to hair biology.","Title explicitly states 'hair follicle regeneration' || Overall_Design uses dorsal skin from large wounds, a model for studying hair follicle neogenesis || Summary mentions investigating factors influencing TLR9 activation in wounds, which is directly tied to hair follicle regeneration",include || include,include
GSE271100,Stem cells tightly regulate dead cell clearance to maintain tissue fitness [scRNA-seq],include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Hair follicle stem cells as non-professional phagocytes during hair cycle,"The study directly assays hair follicle stem cells across hair cycle stages to investigate their phagocytic function, making hair biology a central subject.","Title mentions stem cells and tissue fitness, but summary explicitly states exploiting hair cycle bouts of regeneration and degeneration || Summary: 'Exploiting the cyclical bouts of tissue regeneration and degeneration during the hair cycle, we show that stem cells can transiently become non-professional phagocytes' || Overall design: 'For each hair cycle stage, wild type hair follicle stem cells (HFSCs) from 3-6 wild type animals were pooled and FACS sorted'",include || include,include
GSE270324,The integrated stress response fine-tunes stem cell fate decisions in response to serine deprivation and tissue injury [RNA-seq],include,include,摘要中多处以皮肤毛囊/毛发生物学为核心问题,include,0.95,Hair follicle stem cell fate decisions during serine deprivation and wound healing,"The study directly assays hair follicle stem cells and investigates their role in hair growth and wound repair, making hair biology a central focus.","Title mentions stem cell fate decisions and tissue injury, with RNA-seq data || Summary explicitly states that hair follicle stem cells (HFSCs) are a primary subject, studying their fate choices between hair regeneration and epidermal repair || Summary describes HFSC-specific loss-of-function studies and temporal single-cell RNA sequencing to investigate serine deprivation effects on HFSCs || Overall design references reanalysis of previous HFSC-related datasets (GSE67404, GSE123913)",include || include,include
GSE270317,The integrated stress response fine-tunes stem cell fate decisions in response to serine deprivation and tissue injury [scRNA-seq],include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Hair follicle stem cell fate decisions during serine deprivation and wound healing,"The study directly assays hair follicle stem cells to investigate their fate decisions in hair growth and wound repair, making hair biology a central subject.","Title mentions stem cell fate decisions in response to tissue injury, with scRNA-seq of hair follicle stem cells || Summary states that hair follicle stem cells (HFSCs) are normally dedicated to hair regeneration and that the study examines how their fate choices are balanced during wound repair || Overall design specifies isolation of mouse hair follicle stem cells from unwounded and wounded conditions for transcriptomic analysis",include || include,include
GSE269455,Humanized CXCL12 Antibody Delays Onset and Modulates Immune Response in Alopecia Areata Mice,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Alopecia areata treatment mechanism,"The study directly investigates alopecia areata, a hair-loss disorder, using an AA mouse model and skin samples to understand treatment effects on hair growth.",Title mentions alopecia areata and hair growth || Summary states CXCL12 inhibits hair growth and antibody increases hair growth in AA || Study uses AA mouse model and analyzes dorsal skin || Single-cell RNA-seq performed on skin to investigate molecular mechanisms of AA treatment,include || include,include
GSE247569,The impact of HPV8 on Lrig1+ and CD34+ hair follicle keratinocyte stem cell populations,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Hair follicle keratinocyte stem cell populations (Lrig1+ and CD34+),"The study directly assays hair follicle stem cell populations (Lrig1+ and CD34+) and investigates their biology in the context of HPV8 infection, making hair follicle cells a primary biological subject.","Title explicitly mentions hair follicle keratinocyte stem cell populations || Summary states investigation of Lrig1+ hair follicle junctional zone KSC proliferation and expansion || Overall design describes transcriptomic analysis of Lrig1+ and CD34+ flow-sorted keratinocytes from dorsal back skin, which are hair follicle stem cell populations",include || include,include
GSE254889,Hair follicles modulate skin barrier function,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,exclude,0.95,skin barrier function after ABCA12 deletion in epidermis,The study focuses on epidermal barrier function and gene expression changes in whole epidermis after ABCA12 deletion; hair follicles are not the primary biological subject or assayed sample.,"Title mentions hair follicles but study design assays separated telogen skin epidermis, not hair follicles. || Summary states the goal is to assess effects of deleting ABCA12 in skin epidermis and identify DEGs upon barrier disruption. || Overall design specifies RNA was isolated from separated telogen skin epidermis, not hair follicle compartments.",exclude || exclude,review
GSE267295,Microneedle-mediated Delivery of Immunomodulators Restores Immune Privilege in Hair Follicles and Reverses Immune-Mediated Alopecia,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Alopecia areata treatment via local immunomodulation,"The study directly investigates alopecia areata, a hair-loss disorder, and assays skin lesions to evaluate treatment effects on hair follicles and immune pathways.","Title explicitly mentions restoring immune privilege in hair follicles and reversing immune-mediated alopecia || Summary states Alopecia Areata is the condition studied, with localized hair loss due to autoimmunity || Overall design describes bulk RNA-seq of AA-like skin lesions from treated and untreated groups || Study uses a murine model of immune-mediated alopecia and a humanized skin transplant model to assess hair regrowth",include || include,include
GSE266028,Dermal TRPV1 innervations engage a macrophage and fibroblast containing pathway to activate hair growth [dataset2],include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Hair follicle regeneration and hair growth,"The study directly investigates hair follicle regeneration and hair growth as a primary endpoint, with omics data from relevant tissue.",Title mentions 'activate hair growth' || Summary states 'triggered new regenerative cycling by dormant hair follicles' || Summary describes 'nociceptor-triggered hair growth' || Overall design includes 'subcutis' which contains hair follicle components,include || include,include
GSE266027,Dermal TRPV1 innervations engage a macrophage and fibroblast containing pathway to activate hair growth [dataset1],include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Hair follicle regeneration and hair growth,"The study directly investigates hair follicle biology and hair growth as a primary endpoint, using mouse models to examine regenerative cycling.",Title mentions 'activate hair growth' || Summary states 'triggered new regenerative cycling by dormant hair follicles' || Summary describes 'nociceptor-triggered hair growth' || Overall design includes mouse samples for hair growth study,include || include,include
GSE243088,Essential role of macrophages in contact hypersensitivity-induced hair regeneration [DPCP vs control],include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Hair follicle regeneration induced by contact hypersensitivity,"The study directly investigates hair follicle biology and regeneration, with hair growth as a central endpoint.",Title mentions 'hair regeneration' || Summary states 'direct stimulatory effect on hair follicles to fasten anagen entry' || Overall design uses whole skin samples to study gene expression under DPCP treatment for hair growth,include || include,include
GSE243087,Essential role of macrophages in contact hypersensitivity-induced hair regeneration [Clod vs Encap],include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Hair follicle regeneration induced by contact hypersensitivity and mediated by macrophages,"The study directly investigates hair follicle biology and hair regeneration, with hair growth as a central endpoint.","Title mentions 'hair regeneration' || Summary states 'stimulatory effect on hair follicles to fasten anagen entry' and 'stimulatory effect on hair growth is mediated by macrophages' || Overall design uses whole skin samples to study gene expression under DPCP treatment, which is used to induce hair growth",include || include,include
GSE206790,Profibrotic subsets of SPP1+ macrophages and POSTN+ fibroblasts contribute to fibrotic scarring in acne keloidalis,include,include,摘要中多处以皮肤毛囊/毛发生物学为核心问题,include,0.95,"Acne keloidalis, a primary scarring alopecia, with focus on fibrotic scarring and hair loss mechanisms","The study directly investigates the pathogenesis of a primary scarring alopecia (acne keloidalis) using scalp biopsies, with findings localized to the hair follicle outer root sheath, making hair biology and alopecia the central subjects.","Title mentions acne keloidalis, a primary scarring alopecia || Summary states AK is a primary scarring alopecia characterized by hair loss || scRNA-seq performed on scalp biopsy specimens of lesional and adjacent non-lesional skin from AK patients || Study identifies cell populations (POSTN+ fibroblasts, SPP1+ macrophages) localized to the outer root sheath of the hair follicle || Therapy with intralesional corticosteroids reduced SPP1 and POSTN expression and lessened AK progression",include || include,include
GSE261101,Quietly hiding: PD-L1 checkpoint expression in melanocyte stem cell quiescence and aging,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Melanocyte stem cells in hair follicles during quiescence and aging,"The study directly assays melanocyte stem cells within hair follicles and investigates their quiescence dynamics during the hair cycle, making hair biology a central subject.","Title mentions melanocyte stem cell quiescence and aging, which are studied in the context of the hair cycle. || Summary states: 'McSCs appear to leverage this immune checkpoint as a key aspect of their dynamics during the dormant stage of the hair cycle.' || Overall_Design: 'Melanoblasts in the P0.5 dermis are located within developing hair follicles.' || Overall_Design: 'Enrichment for qMcSCs at both the adult and aged timepoints was achieved by isolating KIT+CD45- cells from mouse skin whose hair was in the telogen stage of the hair cycle.' || Overall_Design: 'The telogen stage of the hair cycle was confirmed by the pinkness of the skin.'",include || include,include
GSE254311,Gene expression profile of hair follicle stem cells (HFSCs) isolated from wild type and homozygous Dab2 cKO (Dab2 Fl/Fl) mice at postnatal day 68,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,hair follicle stem cells (HFSCs) and their activation/quiescence,"The study directly assays hair follicle stem cells and investigates their activation and quiescence, which is central to hair biology.",Title explicitly states gene expression profile of hair follicle stem cells (HFSCs) || Summary describes Dab2 expression in hair follicle compartments and its role in HFSC activation and hair follicle cycle initiation || Overall design specifies expression profiling on HFSCs isolated from dorsal skin,include || include,include
GSE231731,Retinoic acid promotes tissue regeneration by resolving stem cell lineage plasticity,include,include,摘要中多处以皮肤毛囊/毛发生物学为核心问题,include,0.95,Hair follicle stem cell behavior during regeneration and wound repair,"The study directly assays hair follicle stem cells and investigates mechanisms of hair regeneration, making it central to hair biology.","Title mentions stem cell lineage plasticity in tissue regeneration, with hair follicle stem cells as the model. || Summary explicitly states use of hair follicle stem cells (HFSCs) and 3D cultures to study signals governing regeneration and plasticity. || Study investigates RA signaling in hair follicle niches and its interaction with WNT/BMP to drive hair regeneration. || In vivo validation for hair growth and wound repair, with therapeutic implications for hair growth.",include || include,include
GSE245774,ASH2L mediates epidermal differentiation and hair follicle morphogenesis via the regulation of the Notch signaling pathway activity,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Hair follicle morphogenesis and epidermal differentiation,The study directly addresses hair follicle morphogenesis as a primary biological subject.,Title explicitly states 'hair follicle morphogenesis' || Study investigates ASH2L role in hair follicle development,include || include,include
GSE245772,ASH2L mediates epidermal differentiation and hair follicle morphogenesis via the regulation of the Notch signaling pathway activity [RNA-Seq],include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Hair follicle morphogenesis and epidermal differentiation,"The study directly investigates hair follicle morphogenesis as a primary biological subject, using RNA-seq on epidermal progenitor cells relevant to hair follicle development.","Title explicitly states 'hair follicle morphogenesis' || Summary mentions conditional knockout in epidermal progenitor cells and analysis of RNA-seq from these cells, which are relevant to hair follicle development || Study investigates role of ASH2L in epidermal development, which includes hair follicle formation",include || include,include
GSE261227,Molecular heterogeneity of quiescent melanocyte stem cells revealed by single-cell RNA-sequencing.,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,quiescent melanocyte stem cells of the hair follicle,"The study directly assays hair follicle melanocyte stem cells, which are a primary biological subject central to hair pigmentation and cycling.",Title: Molecular heterogeneity of quiescent melanocyte stem cells revealed by single-cell RNA-sequencing. || Summary: Melanocyte stem cells (McSCs) of the hair follicle are a rare cell population within the skin... || Overall_Design: Follicular melanocyte stem cells reside in the cellular state of quiescence... essential for the regeneration of hair pigmentation during hair cycling.,include || include,include
GSE255708,Finasteride delays atherosclerosis progression in mice and is associated with a reduction in plasma cholesterol in men,exclude,exclude,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,exclude,0.95,atherosclerosis and lipid metabolism,"The study investigates finasteride's effect on atherosclerosis and lipid metabolism, not hair follicle biology or alopecia. Finasteride's use for male-pattern baldness is only mentioned as background context.","Title: Finasteride delays atherosclerosis progression in mice and is associated with a reduction in plasma cholesterol in men || Summary: Evaluates role of finasteride on atherosclerosis using Ldlr-/- mice; RNA-seq on liver to study inflammatory pathways, bile acid metabolism, and cholesterol pathways || Overall_Design: Liver RNA isolated from Ldlr-/- mice fed Western diet with/without finasteride",exclude || exclude,exclude
GSE252536,Effects of cinnamic acid on the hair growth ability of dermal papilla cells,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,human dermal papilla cells and hair growth ability,"The study directly assays human dermal papilla cells, a primary hair follicle cell type, to investigate hair growth ability, meeting inclusion criterion 1.",Title: Effects of cinnamic acid on the hair growth ability of dermal papilla cells || Summary: Treatment with cinnamic acid led to upregulation of G-protein coupled receptor signaling pathway and neuroactive ligand-receptor interaction in human DP cells. || Overall_Design: We annalysed gene expression of human dermal papilla cells with/without 100 Î¼g/mL treatment for 3 days.,include || include,include
GSE254347,Antiviral drugs prolong survival in murine recessive dystrophic epidermolysis bullosa,exclude,exclude,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,exclude,0.95,Recessive dystrophic epidermolysis bullosa (RDEB) skin fibrosis,"The study focuses on skin fibrosis in RDEB, with hair loss only noted as a secondary symptom of pruritus reduction; no hair follicle biology or alopecia is assayed.","Title: 'Antiviral drugs prolong survival in murine recessive dystrophic epidermolysis bullosa' || Summary: 'RDEB is a rare inherited skin disease characterized by defects in type VII collagen leading to fibrotic pathologies...' || Summary: '...a decrease in pruritus-induced hair loss' is mentioned as a secondary quality-of-life improvement, not a primary endpoint. || Overall_Design: 'EB samples in triplicate treated with vehicle control (DMSO) or daclatasvir' – samples are from RDEB skin, not hair follicles.",exclude || exclude,exclude
GSE248056,The impact of HPV8 on hair follicle stem cell populations,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,hair follicle stem cell populations,The study directly investigates hair follicle stem cell populations as a primary biological subject.,"Title explicitly states 'impact of HPV8 on hair follicle stem cell populations' || Organism is Mus musculus, consistent with hair follicle stem cell research",include || include,include
GSE247466,The impact of HPV8 E6 on Lrig1+ hair follicle stem cell populations,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Lrig1+ hair follicle junctional zone stem cells,"The study directly assays hair follicle stem cells (Lrig1+ junctional zone) as the primary biological subject, investigating their proliferation and expansion.",Title explicitly mentions 'Lrig1+ hair follicle stem cell populations' || Summary states 'HPV8 E6 specifically caused Lrig1+ hair follicle junctional zone KSC proliferation and expansion' || Overall design describes isolation of Lrig1+ confetti+ cells from hair follicle junctional zone for RNA-seq,include || include,include
GSE252889,Smart-seq analysis comparing melanocytes from Spry1flox/flox mice tail epidermis to the melanocytes derived from Spry1 epidermis specific knockout mice tail and back epidermis,include,review,存在毛发相关描述，但缺少足够的研究对象或样本证据,include,0.9,Melanocyte stem cells in hair follicle and their migration to epidermis,"The study directly assays melanocyte stem cells from the hair follicle and investigates their migration, making hair follicle biology a central subject.",Summary states: 'melanocyte stem cells (McSCs) in the hair follicle exit the stem cell niche' || Study investigates McSC behavior in hair follicle after Spry1 knockout || Hair follicle is a primary biological subject as the source of McSCs,include || include,review
GSE156014,Dietary restriction delays but cannot heal irradiation-induced hair graying by preserving hair follicle stem cells in quiescence,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.98,Hair follicle stem cells and melanoblasts in irradiation-induced hair graying under dietary restriction,"The study directly assays hair follicle stem cells and investigates hair graying, a hair biology phenotype, making it central to a hair follicle omics collection.",Title explicitly mentions hair graying and hair follicle stem cells || Summary states study focuses on hair follicle stem cells (HFSCs) and melanoblasts in hair graying || Overall design profiles CD34+alpha6+ hair follicle stem cells,include || include,include
GSE194373,BMI1 is required for melanocyte stem cell maintenance and hair pigmentation,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,melanocyte stem cells in hair follicle and hair pigmentation,"The study directly investigates melanocyte stem cells in the hair follicle and their role in hair pigmentation, a core hair biology topic.","Title: BMI1 is required for melanocyte stem cell maintenance and hair pigmentation || Summary: premature hair greying, MeSC loss in hair cycle, melanocyte depletion || Overall_Design: melanocyte stem cells with Bmi1 disruption vs wild-type",include || include,include
GSE229890,Autophagy induces hair follicle stem cell activation and hair follicle regeneration by regulating glycolysis,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Human hair follicle stem cells and their role in hair growth via autophagy,The study directly assays hair follicle stem cells and investigates a mechanism (autophagy) central to hair follicle biology and regeneration.,Title explicitly states 'hair follicle stem cell activation and hair follicle regeneration' || Summary describes treatment of human hair follicle stem cells with rapamycin to study autophagy in hair growth || Overall design compares gene expression in hair follicle stem cells after autophagy induction,include || include,include
GSE225849,RNA-seq data of human scalp hair follicles following SEP1 phage treatment,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,1.0,human scalp hair follicles,"The study directly assays human scalp hair follicles as the primary biological subject, with transcriptomic analysis designed to investigate treatment effects on hair follicles.",Title: RNA-seq data of human scalp hair follicles following SEP1 phage treatment || Summary: Human scalp hair follicles were snapfrozen directly after surgery or organ-cultured in the presence/absence of SEP1 phages || Overall Design: Human anagen VI hair follicles were snap frozen after surgery or organ cultured for 30h in the presence/absence of SEP1 phages,include || include,include
GSE179300,Innate immunity controls hair regeneration and growth via BMP signaling,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.98,hair follicle stem cells and hair regeneration,"The study directly assays hair follicle stem cells to investigate hair cycle regulation and regeneration, making it central to hair biology.",Title: 'Innate immunity controls hair regeneration and growth via BMP signaling' || Summary: 'TLR2 is enriched in hair follicle stem cells (HFSCs) and its levels change in hair cycle and skin disorders.' || Summary: 'The lack of TLR2 in HFSCs diminishes activation and proliferation of HFSCs markedly prolonging the resting phase of hair cycle.' || Overall_Design: 'Examination of transcriptome changes after TLR2 deletion from murine hair follicle stem cells.',include || include,include
GSE243572,Differential T-cell and monocyte responses in hepatocellular carcinoma treated with regorafenib plus nivolumab: an integrated clinical and biomarker analysis of the phase 2 RENOBATE trial,exclude,exclude,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,exclude,0.95,hepatocellular carcinoma immunotherapy response biomarkers,"Alopecia is merely an adverse event; the study's primary subject is hepatocellular carcinoma and its immune response biomarkers, not hair biology or alopecia.",Title indicates hepatocellular carcinoma treated with regorafenib plus nivolumab || Summary states primary endpoint is objective response rate in uHCC || Overall design uses PBMCs from early progressors and long-term responders in RENOBATE trial || Alopecia is listed only as an adverse event (26.2%),exclude || exclude,exclude
GSE242128,MCPIP1 controls effects of myeloid cells on skin carcinogenesis and hair growth,exclude,exclude,标题虽提及毛发/脱发，但实验设计明确指向无关组织或疾病,exclude,0.95,myeloid Mcpip1 in skin carcinogenesis,"Hair growth is mentioned in the title but the study's primary subject is myeloid Mcpip1's role in skin carcinogenesis, with no evidence that hair follicles or alopecia are central to the omics experiment.","Title mentions hair growth but study focus is skin carcinogenesis || Summary describes epidermal proliferation and melanocytic nevi, not hair biology || Overall design profiles skin lesions and adjacent skin, not hair follicles",exclude || exclude,exclude
GSE192797,Thyroid hormone receptor agonist promotes hair growth in mice,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Hair growth promotion by thyroid hormone receptor agonist in mouse skin,"The study directly investigates hair growth promotion using a thyroid hormone receptor agonist, with omics data generated from treated skin to elucidate underlying mechanisms.",Title explicitly states 'promotes hair growth in mice' || Study design involves depilation and topical treatment to assess hair growth || RNA-seq performed on skin tissue to identify genes and pathways related to hair growth,include || include,include
GSE220977,Sweat gland development requires an eccrine dermal niche and couples two epidermal programs,exclude,exclude,毛发/脱发仅作为药物适应证、不良事件、临床表现或次要结局出现,include,0.9,Eccrine sweat gland development with comparison to hair follicle transcriptomes,"The study explicitly identifies and analyzes a transcriptome shared with hair follicles, making hair follicle biology a primary subject of the omics experiment.","Summary states: 'We identify two concurrent but disproportionate epidermal transcriptomes in the early eccrine anlagen: one that is shared with hair follicles and one that is En1 dependent and eccrine specific.' || The study directly compares eccrine gland and hair follicle transcriptomes, making hair follicle biology a central component of the analysis.",include || include,review
GSE159827,Symmetry breaking of tissue mechanics in wound induced hair follicle regeneration [scRNA-seq],include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Wound-induced hair follicle regeneration,"The study directly investigates hair follicle regeneration using a wound-induced model, making hair biology a central endpoint.","Title explicitly states 'wound induced hair follicle regeneration' || Summary describes using WIHN model to study hair formation, periodic hair primordia, and hair follicle regeneration || Overall design mentions single-cell mRNA sequencing of back skin from naïve mice, which is relevant to hair follicle biology",include || include,include
GSE212757,Adipose transcriptome in the scalp of androgenetic alopecia,include,include,实验设计明确包含毛囊、头皮、毛周期或相关细胞/样本,include,0.95,Adipose tissue in androgenetic alopecia scalp,"The study directly investigates androgenetic alopecia, a hair-loss disorder, by profiling adipose tissue from affected scalp, making it relevant to alopecia omics.",Title explicitly states 'Adipose transcriptome in the scalp of androgenetic alopecia' || Summary describes collection of adipose tissue from bald and normal scalp of male participants with androgenetic alopecia || Study aims to identify differentially expressed genes in androgenetic alopecia specifically in the adipose,include || include,include
GSE223884,VDR is an essential regulatory factor in the stage of hair follicle regression through the progression of cell death,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,Hair follicle regression and VDR role in catagen,"The study directly investigates hair follicle biology, specifically the role of VDR in catagen regression, using scRNA-seq on relevant tissue.",Title explicitly states hair follicle regression and cell death || Summary describes VDR knockout leading to hair cycle arrest at catagen and alopecia || Study uses scRNA-seq on epidermis cells from Vdr knockout mice to investigate hair follicle homeostasis,include || include,include
GSE240637,Spatial transcriptome reveals disturbance of peri-infundibular immune infiltration in androgenetic alopecia,include,include,标题以毛囊、毛发生物学或脱发为主要研究主题,include,0.95,peri-infundibular immune infiltration in androgenetic alopecia,"The study directly profiles a hair follicle-associated compartment in the context of androgenetic alopecia, a primary hair-loss disorder.",Title explicitly mentions androgenetic alopecia and peri-infundibular immune infiltration || Summary states the study investigates molecular signatures of peri-infundibular immune infiltration in AGA || Overall design compares CD45+ peri-infundibular immune infiltration regions from AGA patients vs normal donors,include || include,include
